id,name
1,Skybound Entertainment
2,The Wallis Interactive
3,Hemdale
4,Marvel Studios
5,Warner Bros. Pictures
6,Columbia Pictures
7,Amazon Studios
8,Secret Hideout
9,Marvel Studios
10,Warner Bros. Animation
11,DreamWorks Animation
12,Working Title Films
13,American International Pictures
14,Berlanti Productions
15,Riot Games
16,Cartoon Network Studios
17,Cartoon Network Studios
18,HBO Entertainment
19,New Line Cinema
20,New Line Cinema
21,New Line Cinema
22,New Line Cinema
23,Copa Studio
24,Red Granite Pictures
25,IAC Films
26,Deedle-Dee Productions
27,Zazen Produções
28,Amazon MGM Studios
29,Amazon MGM Studios
30,Kripke Enterprises
31,Marvel Studios
32,Marvel Television
33,Pixar Animation Studios
34,Pixar Animation Studios
35,Pixar Animation Studios
36,Pixar Animation Studios
37,Original Film
38,Shondaland
39,Lloyd-Levitan
40,20th Century Fox Television
41,Fox 2000 Pictures
